Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0122936582	101325.702	101325.702	101325.702	101325.702	0	0	0	0	0	0	3
2	4	0	0.0245873164	101325.184	101325.443	101325.184	101325.702	0.25866098	0	0	0	0	0	3
3	4	0	0.0368809745	101325.035	101325.307	101325.035	101325.702	0.394720157	0	0	0	0	0	3
4	5	0	0.0491746327	101325.138	101325.265	101325.035	101325.702	0.437074779	0	0	0	0	0	3
5	5	0	0.0614682909	101325.025	101325.217	101325.025	101325.702	0.485036355	0	0	0	0	0	3
6	5	0	0.0737619491	101325.092	101325.196	101325.025	101325.702	0.505775256	0	0	0	0	0	3
7	6	0	0.0860556072	101325.047	101325.175	101325.025	101325.702	0.527058054	0	0	0	0	0	3
8	6	0	0.0983492654	101325.051	101325.159	101325.025	101325.702	0.542552703	0	0	0	0	0	3
9	6	0	0.110642924	101325.03	101325.145	101325.025	101325.702	0.556929269	0	0	0	0	0	3
10	7	0	0.122936582	101325.018	101325.132	101325.018	101325.702	0.569640388	0	0	0	0	0	3
11	7	0	0.13523024	101325.006	101325.121	101325.006	101325.702	0.581139192	0	0	0	0	0	3
12	8	0	0.147523898	101324.977	101325.109	101324.977	101325.702	0.593094155	0	0	0	0	0	3
13	8	0	0.159817556	101324.964	101325.097	101324.964	101325.702	0.604241757	0	0	0	0	0	3
14	8	0	0.172111214	101324.928	101325.085	101324.928	101325.702	0.616344252	0	0	0	0	0	3
15	9	0	0.184404873	101324.91	101325.074	101324.91	101325.702	0.628033059	0	0	0	0	0	3
16	9	0	0.196698531	101324.882	101325.062	101324.882	101325.702	0.640042708	0	0	0	0	0	3
17	9	0	0.208992189	101324.846	101325.049	101324.846	101325.702	0.652739716	0	0	0	0	0	3
18	10	0	0.221285847	101324.805	101325.035	101324.805	101325.702	0.666301586	0	0	0	0	0	3
19	10	0	0.233579505	101324.769	101325.021	101324.769	101325.702	0.680320861	0	0	0	0	0	3
20	11	0	0.245873164	101324.725	101325.007	101324.725	101325.702	0.695161514	0	0	0	0	0	3
21	11	0	0.258166822	101324.69	101324.991	101324.69	101325.702	0.710259209	0	0	0	0	0	3
22	12	0	0.27046048	101324.631	101324.975	101324.631	101325.702	0.72662117	0	0	0	0	0	3
23	12	0	0.282754138	101324.579	101324.958	101324.579	101325.702	0.74383444	0	0	0	0	0	3
24	12	0	0.295047796	101324.531	101324.94	101324.531	101325.702	0.761624752	0	0	0	0	0	3
25	13	0	0.307341454	101324.49	101324.922	101324.49	101325.702	0.779634274	0	0	0	0	0	3
26	13	0	0.319635113	101324.467	101324.905	101324.467	101325.702	0.797118751	0	0	0	0	0	3
27	13	0	0.331928771	101324.459	101324.888	101324.459	101325.702	0.813631125	0	0	0	0	0	3
28	14	0	0.344222429	101324.466	101324.873	101324.459	101325.702	0.828689854	0	0	0	0	0	3
29	14	0	0.356516087	101324.491	101324.86	101324.459	101325.702	0.84184976	0	0	0	0	0	3
30	15	0	0.368809745	101324.526	101324.849	101324.459	101325.702	0.852970344	0	0	0	0	0	3
31	15	0	0.381103404	101324.557	101324.839	101324.459	101325.702	0.862372161	0	0	0	0	0	3
32	16	0	0.393397062	101324.585	101324.831	101324.459	101325.702	0.870324735	0	0	0	0	0	3
33	16	0	0.40569072	101324.606	101324.825	101324.459	101325.702	0.877147575	0	0	0	0	0	3
34	17	0	0.417984378	101324.62	101324.819	101324.459	101325.702	0.883158494	0	0	0	0	0	3
35	17	0	0.430278036	101324.625	101324.813	101324.459	101325.702	0.888678612	0	0	0	0	0	3
36	17	0	0.442571694	101324.627	101324.808	101324.459	101325.702	0.893850961	0	0	0	0	0	3
37	18	0	0.454865353	101324.628	101324.803	101324.459	101325.702	0.898702106	0	0	0	0	0	3
38	18	0	0.467159011	101324.637	101324.799	101324.459	101325.702	0.903081856	0	0	0	0	0	3
39	19	0	0.479452669	101324.647	101324.795	101324.459	101325.702	0.906972181	0	0	0	0	0	3
40	19	0	0.491746327	101324.655	101324.791	101324.459	101325.702	0.910461029	0	0	0	0	0	3
41	20	0	0.504039985	101324.659	101324.788	101324.459	101325.702	0.913678499	0	0	0	0	0	3
42	20	0	0.516333643	101324.661	101324.763	101324.459	101325.184	0.680392831	0	0	0	0	0	3
43	20	0	0.528627302	101324.666	101324.75	101324.459	101325.138	0.556981619	0	0	0	0	0	3
44	21	0	0.54092096	101324.672	101324.741	101324.459	101325.138	0.52347	0	0	0	0	0	3
45	21	0	0.553214618	101324.678	101324.73	101324.459	101325.092	0.486726773	0	0	0	0	0	3
46	22	0	0.565508276	101324.682	101324.722	101324.459	101325.092	0.474346749	0	0	0	0	0	3
47	22	0	0.577801934	101324.685	101324.712	101324.459	101325.051	0.462995668	0	0	0	0	0	3
48	23	0	0.590095593	101324.689	101324.703	101324.459	101325.051	0.456228346	0	0	0	0	0	3
49	23	0	0.602389251	101324.693	101324.694	101324.459	101325.03	0.450574739	0	0	0	0	0	3
50	23	0	0.614682909	101324.696	101324.686	101324.459	101325.018	0.44600041	0	0	0	0	0	3
51	24	0	0.626976567	101324.7	101324.678	101324.459	101325.006	0.442251541	0	0	0	0	0	3
52	24	0	0.639270225	101324.702	101324.671	101324.459	101324.977	0.437696667	0	0	0	0	0	3
53	25	0	0.651563883	101324.704	101324.664	101324.459	101324.964	0.433208753	0	0	0	0	0	3
54	25	0	0.663857542	101324.706	101324.658	101324.459	101324.928	0.427384353	0	0	0	0	0	3
55	25	0	0.6761512	101324.708	101324.653	101324.459	101324.91	0.421064829	0	0	0	0	0	3
56	26	0	0.688444858	101324.708	101324.648	101324.459	101324.882	0.413990771	0	0	0	0	0	3
57	26	0	0.700738516	101324.709	101324.643	101324.459	101324.846	0.387060985	0	0	0	0	0	3
58	26	0	0.713032174	101324.71	101324.64	101324.459	101324.805	0.346099468	0	0	0	0	0	3
59	27	0	0.725325833	101324.712	101324.638	101324.459	101324.769	0.31028503	0	0	0	0	0	3
60	27	0	0.737619491	101324.712	101324.636	101324.459	101324.725	0.265818933	0	0	0	0	0	3
61	28	0	0.749913149	101324.712	101324.636	101324.459	101324.712	0.25311688	0	0	0	0	0	3
62	28	0	0.762206807	101324.712	101324.637	101324.459	101324.712	0.253214155	0	0	0	0	0	3
63	28	0	0.774500465	101324.712	101324.639	101324.459	101324.712	0.253214155	0	0	0	0	0	3
64	29	0	0.786794123	101324.711	101324.642	101324.459	101324.712	0.253214155	0	0	0	0	0	3
65	29	0	0.799087782	101324.712	101324.646	101324.459	101324.712	0.253214155	0	0	0	0	0	3
66	29	0	0.81138144	101324.711	101324.652	101324.459	101324.712	0.253214155	0	0	0	0	0	3
67	30	0	0.823675098	101324.712	101324.658	101324.459	101324.712	0.25190756	0	0	0	0	0	3
68	30	0	0.835968756	101324.712	101324.664	101324.466	101324.712	0.236848831	0	0	0	0	0	3
69	30	0	0.848262414	101324.713	101324.67	101324.491	101324.713	0.22157127	0	0	0	0	0	3
70	31	0	0.860556072	101324.714	101324.675	101324.526	101324.714	0.187987111	0	0	0	0	0	3
71	31	0	0.872849731	101324.716	101324.68	101324.557	101324.716	0.158325673	0	0	0	0	0	3
72	32	0	0.885143389	101324.717	101324.684	101324.585	101324.717	0.13206101	0	0	0	0	0	3
73	32	0	0.897437047	101324.718	101324.687	101324.606	101324.718	0.1121981	0	0	0	0	0	3
74	32	0	0.909730705	101324.721	101324.69	101324.62	101324.721	0.100941791	0	0	0	0	0	3
75	33	0	0.922024363	101324.723	101324.692	101324.625	101324.723	0.0977317345	0	0	0	0	0	3
76	33	0	0.934318022	101324.725	101324.695	101324.627	101324.725	0.0984848021	0	0	0	0	0	3
77	34	0	0.94661168	101324.726	101324.697	101324.628	101324.726	0.0973367852	0	0	0	0	0	3
78	34	0	0.958905338	101324.727	101324.7	101324.637	101324.727	0.0905944419	0	0	0	0	0	3
79	34	0	0.971198996	101324.729	101324.702	101324.647	101324.729	0.0817200154	0	0	0	0	0	3
80	35	0	0.983492654	101324.73	101324.704	101324.655	101324.73	0.0750570925	0	0	0	0	0	3
81	35	0	0.995786312	101324.731	101324.706	101324.659	101324.731	0.0717556652	0	0	0	0	0	3
82	35	0	1.00807997	101324.732	101324.708	101324.661	101324.732	0.071005342	0.0203644259	0	28.6	0	0	3
83	36	0	1.02037363	101324.734	101324.709	101324.666	101324.734	0.0680459819	0.0203644259	0	29.9	0	0	3
84	36	0	1.03266729	101324.736	101324.711	101324.672	101324.736	0.0632994111	0.0203644259	0	32.1	0	0	3
85	37	0	1.04496095	101324.738	101324.713	101324.678	101324.738	0.0602725995	0.0203644259	0	33.7	0	0	3
86	37	0	1.0572546	101324.739	101324.714	101324.682	101324.739	0.0571634043	0.0203644259	0	35.6	0	0	3
87	37	0	1.06954826	101324.74	101324.716	101324.685	101324.74	0.0552193318	0.0203644259	0	36.8	0	0	3
88	38	0	1.08184192	101324.741	101324.717	101324.689	101324.741	0.0519778399	0.0203644259	0	39.1	0	0	3
89	38	0	1.09413558	101324.742	101324.718	101324.693	101324.742	0.0493045052	0.0203644259	0	41.3	0	0	3
