Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0122936582	101325.17	101325.17	101325.17	101325.17	0	0	0	0	0	0	3
2	3	0	0.0245873164	101325.042	101325.106	101325.042	101325.17	0.0639471696	0	0	0	0	0	3
3	3	0	0.0368809745	101325.008	101325.073	101325.008	101325.17	0.0964867518	0	0	0	0	0	3
4	3	0	0.0491746327	101325.036	101325.064	101325.008	101325.17	0.105888384	0	0	0	0	0	3
5	4	0	0.0614682909	101325.006	101325.052	101325.006	101325.17	0.117477199	0	0	0	0	0	3
6	4	0	0.0737619491	101325.023	101325.048	101325.006	101325.17	0.12235689	0	0	0	0	0	3
7	5	0	0.0860556072	101325.012	101325.042	101325.006	101325.17	0.127486386	0	0	0	0	0	3
8	5	0	0.0983492654	101325.013	101325.039	101325.006	101325.17	0.131180747	0	0	0	0	0	3
9	5	0	0.110642924	101325.007	101325.035	101325.006	101325.17	0.134657374	0	0	0	0	0	3
10	6	0	0.122936582	101325.005	101325.032	101325.005	101325.17	0.137706758	0	0	0	0	0	3
11	6	0	0.13523024	101325.001	101325.029	101325.001	101325.17	0.1405005	0	0	0	0	0	3
12	6	0	0.147523898	101324.995	101325.026	101324.995	101325.17	0.143405218	0	0	0	0	0	3
13	7	0	0.159817556	101324.991	101325.024	101324.991	101325.17	0.146138761	0	0	0	0	0	3
14	7	0	0.172111214	101324.982	101325.021	101324.982	101325.17	0.149093323	0	0	0	0	0	3
15	8	0	0.184404873	101324.977	101325.018	101324.977	101325.17	0.151981713	0	0	0	0	0	3
16	8	0	0.196698531	101324.971	101325.015	101324.971	101325.17	0.154942388	0	0	0	0	0	3
17	8	0	0.208992189	101324.962	101325.012	101324.962	101325.17	0.158068992	0	0	0	0	0	3
18	9	0	0.221285847	101324.952	101325.008	101324.952	101325.17	0.1614134	0	0	0	0	0	3
19	9	0	0.233579505	101324.942	101325.005	101324.942	101325.17	0.164895231	0	0	0	0	0	3
20	10	0	0.245873164	101324.931	101325.001	101324.931	101325.17	0.16857936	0	0	0	0	0	3
21	10	0	0.258166822	101324.922	101324.998	101324.922	101325.17	0.172333706	0	0	0	0	0	3
22	10	0	0.27046048	101324.908	101324.993	101324.908	101325.17	0.176404484	0	0	0	0	0	3
23	11	0	0.282754138	101324.895	101324.989	101324.895	101325.17	0.180688545	0	0	0	0	0	3
24	11	0	0.295047796	101324.883	101324.985	101324.883	101325.17	0.185110361	0	0	0	0	0	3
25	12	0	0.307341454	101324.873	101324.98	101324.873	101325.17	0.189588281	0	0	0	0	0	3
26	12	0	0.319635113	101324.867	101324.976	101324.867	101325.17	0.193934241	0	0	0	0	0	3
27	12	0	0.331928771	101324.865	101324.972	101324.865	101325.17	0.198027891	0	0	0	0	0	3
28	13	0	0.344222429	101324.867	101324.968	101324.865	101325.17	0.20176419	0	0	0	0	0	3
29	13	0	0.356516087	101324.874	101324.965	101324.865	101325.17	0.205018879	0	0	0	0	0	3
30	13	0	0.368809745	101324.882	101324.962	101324.865	101325.17	0.207764642	0	0	0	0	0	3
31	14	0	0.381103404	101324.89	101324.96	101324.865	101325.17	0.210082935	0	0	0	0	0	3
32	14	0	0.393397062	101324.898	101324.958	101324.865	101325.17	0.212021619	0	0	0	0	0	3
33	15	0	0.40569072	101324.903	101324.956	101324.865	101325.17	0.213674096	0	0	0	0	0	3
34	15	0	0.417984378	101324.907	101324.955	101324.865	101325.17	0.215124303	0	0	0	0	0	3
35	16	0	0.430278036	101324.908	101324.953	101324.865	101325.17	0.216459772	0	0	0	0	0	3
36	16	0	0.442571694	101324.908	101324.952	101324.865	101325.17	0.2177099	0	0	0	0	0	3
37	16	0	0.454865353	101324.908	101324.951	101324.865	101325.17	0.218892078	0	0	0	0	0	3
38	17	0	0.467159011	101324.911	101324.95	101324.865	101325.17	0.219950188	0	0	0	0	0	3
39	17	0	0.479452669	101324.914	101324.949	101324.865	101325.17	0.220874874	0	0	0	0	0	3
40	18	0	0.491746327	101324.916	101324.948	101324.865	101325.17	0.221701042	0	0	0	0	0	3
41	18	0	0.504039985	101324.917	101324.947	101324.865	101325.17	0.222451728	0	0	0	0	0	3
42	18	0	0.516333643	101324.918	101324.941	101324.865	101325.042	0.164654283	0	0	0	0	0	3
43	19	0	0.528627302	101324.919	101324.938	101324.865	101325.036	0.135105664	0	0	0	0	0	3
44	19	0	0.54092096	101324.921	101324.936	101324.865	101325.036	0.127833607	0	0	0	0	0	3
45	19	0	0.553214618	101324.922	101324.933	101324.865	101325.023	0.119023341	0	0	0	0	0	3
46	20	0	0.565508276	101324.922	101324.931	101324.865	101325.023	0.116181509	0	0	0	0	0	3
47	20	0	0.577801934	101324.924	101324.929	101324.865	101325.013	0.11347537	0	0	0	0	0	3
48	21	0	0.590095593	101324.924	101324.927	101324.865	101325.013	0.111907386	0	0	0	0	0	3
49	21	0	0.602389251	101324.925	101324.925	101324.865	101325.007	0.110562027	0	0	0	0	0	3
50	21	0	0.614682909	101324.926	101324.923	101324.865	101325.005	0.109499453	0	0	0	0	0	3
51	22	0	0.626976567	101324.926	101324.921	101324.865	101325.001	0.108619912	0	0	0	0	0	3
52	22	0	0.639270225	101324.927	101324.919	101324.865	101324.995	0.107540235	0	0	0	0	0	3
53	22	0	0.651563883	101324.927	101324.917	101324.865	101324.991	0.106442632	0	0	0	0	0	3
54	23	0	0.663857542	101324.928	101324.916	101324.865	101324.982	0.105022485	0	0	0	0	0	3
55	23	0	0.6761512	101324.928	101324.914	101324.865	101324.977	0.103461943	0	0	0	0	0	3
56	23	0	0.688444858	101324.928	101324.913	101324.865	101324.971	0.10171166	0	0	0	0	0	3
57	24	0	0.700738516	101324.928	101324.912	101324.865	101324.962	0.0963681407	0	0	0	0	0	3
58	24	0	0.713032174	101324.928	101324.911	101324.865	101324.952	0.0861944718	0	0	0	0	0	3
59	24	0	0.725325833	101324.928	101324.911	101324.865	101324.942	0.0768946166	0	0	0	0	0	3
60	25	0	0.737619491	101324.928	101324.91	101324.865	101324.931	0.0658849886	0	0	0	0	0	3
61	25	0	0.749913149	101324.927	101324.91	101324.865	101324.928	0.0626105167	0	0	0	0	0	3
62	25	0	0.762206807	101324.928	101324.91	101324.865	101324.928	0.0626105167	0	0	0	0	0	3
63	26	0	0.774500465	101324.928	101324.911	101324.865	101324.928	0.0626105167	0	0	0	0	0	3
64	26	0	0.786794123	101324.928	101324.912	101324.865	101324.928	0.0626940909	0	0	0	0	0	3
65	27	0	0.799087782	101324.928	101324.913	101324.865	101324.928	0.0626940909	0	0	0	0	0	3
66	27	0	0.81138144	101324.927	101324.914	101324.865	101324.928	0.0626940909	0	0	0	0	0	3
67	27	0	0.823675098	101324.927	101324.916	101324.865	101324.928	0.0615285559	0	0	0	0	0	3
68	28	0	0.835968756	101324.928	101324.917	101324.867	101324.928	0.057792257	0	0	0	0	0	3
69	28	0	0.848262414	101324.928	101324.919	101324.874	101324.928	0.0543814654	0	0	0	0	0	3
70	28	0	0.860556072	101324.929	101324.92	101324.882	101324.929	0.0462544047	0	0	0	0	0	3
71	29	0	0.872849731	101324.929	101324.921	101324.89	101324.929	0.0388520888	0	0	0	0	0	3
72	29	0	0.885143389	101324.929	101324.922	101324.898	101324.929	0.0315288115	0	0	0	0	0	3
73	30	0	0.897437047	101324.93	101324.923	101324.903	101324.93	0.026306612	0	0	0	0	0	3
74	30	0	0.909730705	101324.93	101324.923	101324.907	101324.93	0.023316593	0	0	0	0	0	3
75	30	0	0.922024363	101324.931	101324.924	101324.908	101324.931	0.0227823329	0	0	0	0	0	3
76	31	0	0.934318022	101324.931	101324.925	101324.908	101324.931	0.0229839641	0	0	0	0	0	3
77	31	0	0.94661168	101324.932	101324.925	101324.908	101324.932	0.0231904033	0	0	0	0	0	3
78	31	0	0.958905338	101324.932	101324.926	101324.911	101324.932	0.0211067684	0	0	0	0	0	3
79	32	0	0.971198996	101324.932	101324.926	101324.914	101324.932	0.0183214963	0	0	0	0	0	3
80	32	0	0.983492654	101324.932	101324.927	101324.916	101324.932	0.0163967144	0	0	0	0	0	3
81	32	0	0.995786312	101324.932	101324.927	101324.917	101324.932	0.0150160208	0	0	0	0	0	3
82	33	0	1.00807997	101324.932	101324.928	101324.918	101324.932	0.0146755505	0.00511108557	0	34.8	0	0	3
83	33	0	1.02037363	101324.932	101324.928	101324.919	101324.932	0.013060678	0.00511108557	0	39.1	0	0	3
84	34	0	1.03266729	101324.932	101324.928	101324.921	101324.932	0.0114153372	0.00511108557	0	44.7	0	0	3
85	34	0	1.04496095	101324.932	101324.928	101324.922	101324.932	0.0105506173	0.00511108557	0	48.4	0	0	3
86	34	0	1.0572546	101324.932	101324.929	101324.922	101324.932	0.00992155891	0.00511108557	0	51.5	0	0	3
87	35	0	1.06954826	101324.932	101324.929	101324.924	101324.932	0.00864981367	0.00511108557	0	59	0	0	3
88	35	0	1.08184192	101324.933	101324.929	101324.924	101324.933	0.00828803824	0.00511108557	0	61.6	0	0	3
89	36	0	1.09413558	101324.933	101324.929	101324.925	101324.933	0.00792138452	0.00511108557	0	64.5	0	0	3
90	36	0	1.10642924	101324.934	101324.93	101324.926	101324.934	0.00771483543	0.00511108557	0	66.2	0	0	3
91	36	0	1.11872289	101324.934	101324.93	101324.926	101324.934	0.00778563319	0.00511108557	0	65.6	0	0	3
92	37	0	1.13101655	101324.935	101324.93	101324.927	101324.935	0.00790947609	0.00511108557	0	64.6	0	0	3
93	37	0	1.14331021	101324.935	101324.93	101324.927	101324.935	0.00790906919	0.00511108557	0	64.6	0	0	3
94	38	0	1.15560387	101324.936	101324.93	101324.927	101324.936	0.00856400174	0.00511108557	0	59.6	0	0	3
95	38	0	1.16789753	101324.936	101324.931	101324.927	101324.936	0.00902573804	0.00511108557	0	56.6	0	0	3
96	38	0	1.18019119	101324.937	101324.931	101324.927	101324.937	0.00958831303	0.00511108557	0	53.3	0	0	3
97	39	0	1.19248484	101324.937	101324.931	101324.927	101324.937	0.0097722279	0.00511108557	0	52.3	0	0	3
98	39	0	1.2047785	101324.937	101324.931	101324.927	101324.937	0.0101578337	0.00511108557	0	50.3	0	0	3
99	40	0	1.21707216	101324.937	101324.931	101324.927	101324.937	0.0103788259	0.00511108557	0	49.2	0	0	3
100	40	0	1.22936582	101324.938	101324.932	101324.927	101324.938	0.0106891022	0.00511108557	0	47.8	0	0	3
101	41	0	1.24165948	101324.938	101324.932	101324.927	101324.938	0.0107262091	0.00511108557	0	47.6	0	0	3
102	41	0	1.25395313	101324.938	101324.932	101324.927	101324.938	0.0108514403	0.00511108557	0	47.1	0	0	3
103	42	0	1.26624679	101324.938	101324.932	101324.927	101324.938	0.0109278144	0.00511108557	0	46.7	0	0	3
104	42	0	1.27854045	101324.938	101324.933	101324.927	101324.938	0.0111636355	0.00511108557	0	45.7	0	0	3
105	42	0	1.29083411	101324.939	101324.933	101324.927	101324.939	0.0114177453	0.00511108557	0	44.7	0	0	3
106	43	0	1.30312777	101324.939	101324.933	101324.927	101324.939	0.011866226	0.00511108557	0	43	0	0	3
107	43	0	1.31542143	101324.939	101324.934	101324.927	101324.939	0.0120318508	0.00511108557	0	42.4	0	0	3
108	44	0	1.32771508	101324.939	101324.934	101324.928	101324.939	0.0117177781	0.00511108557	0	43.6	0	0	3
109	44	0	1.34000874	101324.939	101324.934	101324.928	101324.939	0.0113859337	0.00511108557	0	44.8	0	0	3
110	44	0	1.3523024	101324.94	101324.934	101324.929	101324.94	0.0110033893	0.00511108557	0	46.4	0	0	3
111	45	0	1.36459606	101324.94	101324.935	101324.929	101324.94	0.0106956445	0.00511108557	0	47.7	0	0	3
112	45	0	1.37688972	101324.94	101324.935	101324.929	101324.94	0.0106184719	0.00511108557	0	48.1	0	0	3
113	45	0	1.38918337	101324.94	101324.935	101324.93	101324.94	0.0102731661	0.00511108557	0	49.7	0	0	3
114	46	0	1.40147703	101324.94	101324.935	101324.93	101324.94	0.00969100074	0.00511108557	0	52.7	0	0	3
115	46	0	1.41377069	101324.94	101324.936	101324.931	101324.94	0.00910982299	0.00511108557	0	56.1	0	0	3
116	46	0	1.42606435	101324.939	101324.936	101324.931	101324.94	0.00850685702	0.00511108557	0	60	0	0	3
117	47	0	1.43835801	101324.939	101324.936	101324.932	101324.94	0.00828650856	0.00511108557	0	61.6	0	0	3
118	47	0	1.45065167	101324.939	101324.936	101324.932	101324.94	0.00821939563	0.00511108557	0	62.1	0	0	3
119	47	0	1.46294532	101324.939	101324.936	101324.932	101324.94	0.00821939563	0.00511108557	0	62.1	0	0	3
120	48	0	1.47523898	101324.939	101324.937	101324.932	101324.94	0.00821939563	0.00511108557	0	62.1	0	0	3
121	48	0	1.48753264	101324.939	101324.937	101324.932	101324.94	0.00821939563	0.00511108557	0	62.1	0	0	3
122	48	0	1.4998263	101324.939	101324.937	101324.932	101324.94	0.00821939563	0.00511108557	0	62.1	0	0	3
123	49	0	1.51211996	101324.939	101324.937	101324.932	101324.94	0.00821939563	0.00511108557	0	62.1	0	0	3
124	49	0	1.52441361	101324.939	101324.937	101324.932	101324.94	0.00821939563	0.00511108557	0	62.1	0	0	3
125	50	0	1.53670727	101324.939	101324.937	101324.932	101324.94	0.00821939563	0.00511108557	0	62.1	0	0	3
126	50	0	1.54900093	101324.939	101324.938	101324.932	101324.94	0.00821939563	0.00511108557	0	62.1	0	0	3
127	50	0	1.56129459	101324.939	101324.938	101324.932	101324.94	0.00783712298	0.00511108557	0	65.2	0	0	3
128	51	0	1.57358825	101324.939	101324.938	101324.933	101324.94	0.00718322255	0.00511108557	0	71.1	0	0	3
129	51	0	1.58588191	101324.939	101324.938	101324.933	101324.94	0.00652832835	0.00511108557	0	78.2	0	0	3
130	51	0	1.59817556	101324.939	101324.938	101324.934	101324.94	0.00624118983	0.00511108557	0	81.8	0	0	3
131	52	0	1.61046922	101324.939	101324.938	101324.934	101324.94	0.00587425099	0.00511108557	0	87	0	0	3
132	52	0	1.62276288	101324.939	101324.938	101324.935	101324.94	0.00538155518	0.00511108557	0	94.9	0	0	3
133	52	0	1.63505654	101324.939	101324.939	101324.935	101324.94	0.00489304725	0.00511108557	0	100	0	0	3
