Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0122936582	293.200049	293.200049	293.200049	293.200049	0	0	0	0	0	0	3
2	3	0	0.0245873164	293.200063	293.200056	293.200049	293.200063	7.15256198e-06	0	0	0	0	0	3
3	3	0	0.0368809745	293.20007	293.200061	293.200049	293.20007	1.18811588e-05	0	0	0	0	0	3
4	3	0	0.0491746327	293.200076	293.200065	293.200049	293.200076	1.56899734e-05	0	0	0	0	0	3
5	4	0	0.0614682909	293.200081	293.200068	293.200049	293.200081	1.89490502e-05	0	0	0	0	0	3
6	4	0	0.0737619491	293.200089	293.200072	293.200049	293.200089	2.2498042e-05	0	0	0	0	0	3
7	5	0	0.0860556072	293.200098	293.200075	293.200049	293.200098	2.63144132e-05	0	0	0	0	0	3
8	5	0	0.0983492654	293.200107	293.200079	293.200049	293.200107	3.03030444e-05	0	0	0	0	0	3
9	5	0	0.110642924	293.200116	293.200083	293.200049	293.200116	3.43658019e-05	0	0	0	0	0	3
10	6	0	0.122936582	293.200124	293.200088	293.200049	293.200124	3.84644962e-05	0	0	0	0	0	3
11	6	0	0.13523024	293.200138	293.200092	293.200049	293.200138	4.30260963e-05	0	0	0	0	0	3
12	6	0	0.147523898	293.200151	293.200097	293.200049	293.200151	4.79273806e-05	0	0	0	0	0	3
13	7	0	0.159817556	293.200164	293.200102	293.200049	293.200164	5.30744111e-05	0	0	0	0	0	3
14	7	0	0.172111214	293.200177	293.200107	293.200049	293.200177	5.83936084e-05	0	0	0	0	0	3
15	8	0	0.184404873	293.200189	293.200113	293.200049	293.200189	6.38204996e-05	0	0	0	0	0	3
16	8	0	0.196698531	293.200207	293.200119	293.200049	293.200207	6.96997969e-05	0	0	0	0	0	3
17	8	0	0.208992189	293.200224	293.200125	293.200049	293.200224	7.58889091e-05	0	0	0	0	0	3
18	9	0	0.221285847	293.20024	293.200131	293.200049	293.20024	8.22690919e-05	0	0	0	0	0	3
19	9	0	0.233579505	293.200254	293.200138	293.200049	293.200254	8.87474056e-05	0	0	0	0	0	3
20	10	0	0.245873164	293.200268	293.200144	293.200049	293.200268	9.52444491e-05	0	0	0	0	0	3
21	10	0	0.258166822	293.200286	293.200151	293.200049	293.200286	0.00010198616	0	0	0	0	0	3
22	10	0	0.27046048	293.200301	293.200158	293.200049	293.200301	0.000108812654	0	0	0	0	0	3
23	11	0	0.282754138	293.200314	293.200165	293.200049	293.200314	0.000115593248	0	0	0	0	0	3
24	11	0	0.295047796	293.200324	293.200171	293.200049	293.200324	0.000122224594	0	0	0	0	0	3
25	12	0	0.307341454	293.200331	293.200178	293.200049	293.200331	0.000128620085	0	0	0	0	0	3
26	12	0	0.319635113	293.200339	293.200184	293.200049	293.200339	0.000134827768	0	0	0	0	0	3
27	12	0	0.331928771	293.200344	293.20019	293.200049	293.200344	0.000140762171	0	0	0	0	0	3
28	13	0	0.344222429	293.200348	293.200195	293.200049	293.200348	0.000146400039	0	0	0	0	0	3
29	13	0	0.356516087	293.200349	293.200201	293.200049	293.200349	0.000151703767	0	0	0	0	0	3
30	13	0	0.368809745	293.20035	293.200206	293.200049	293.20035	0.000156666299	0	0	0	0	0	3
31	14	0	0.381103404	293.200344	293.20021	293.200049	293.20035	0.000161138619	0	0	0	0	0	3
32	14	0	0.393397062	293.200336	293.200214	293.200049	293.20035	0.000165065998	0	0	0	0	0	3
33	15	0	0.40569072	293.200324	293.200217	293.200049	293.20035	0.000168402545	0	0	0	0	0	3
34	15	0	0.417984378	293.200312	293.20022	293.200049	293.20035	0.000171179479	0	0	0	0	0	3
35	16	0	0.430278036	293.200299	293.200222	293.200049	293.20035	0.000173425713	0	0	0	0	0	3
36	16	0	0.442571694	293.200282	293.200224	293.200049	293.20035	0.000175076817	0	0	0	0	0	3
37	16	0	0.454865353	293.200267	293.200225	293.200049	293.20035	0.000176228822	0	0	0	0	0	3
38	17	0	0.467159011	293.200255	293.200226	293.200049	293.20035	0.000177010567	0	0	0	0	0	3
39	17	0	0.479452669	293.200246	293.200227	293.200049	293.20035	0.000177516978	0	0	0	0	0	3
40	18	0	0.491746327	293.200238	293.200227	293.200049	293.20035	0.00017780994	0	0	0	0	0	3
41	18	0	0.504039985	293.200229	293.200227	293.200049	293.20035	0.00017786087	0	0	0	0	0	3
42	18	0	0.516333643	293.200222	293.200231	293.200063	293.20035	0.0001749369	0	0	0	0	0	3
43	19	0	0.528627302	293.200218	293.200235	293.20007	293.20035	0.000173976965	0	0	0	0	0	3
44	19	0	0.54092096	293.200215	293.200238	293.200076	293.20035	0.000173687794	0	0	0	0	0	3
45	19	0	0.553214618	293.200212	293.200242	293.200081	293.20035	0.000173733916	0	0	0	0	0	3
46	20	0	0.565508276	293.200209	293.200245	293.200089	293.20035	0.000173302767	0	0	0	0	0	3
47	20	0	0.577801934	293.200207	293.200248	293.200098	293.20035	0.000172354678	0	0	0	0	0	3
48	21	0	0.590095593	293.200206	293.20025	293.200107	293.20035	0.000170991268	0	0	0	0	0	3
49	21	0	0.602389251	293.200206	293.200253	293.200116	293.20035	0.000169326071	0	0	0	0	0	3
50	21	0	0.614682909	293.200205	293.200255	293.200124	293.20035	0.000167409356	0	0	0	0	0	3
51	22	0	0.626976567	293.200205	293.200257	293.200138	293.20035	0.000164819364	0	0	0	0	0	3
52	22	0	0.639270225	293.200206	293.200259	293.200151	293.20035	0.000161580538	0	0	0	0	0	3
53	22	0	0.651563883	293.200206	293.20026	293.200164	293.20035	0.000157789024	0	0	0	0	0	3
54	23	0	0.663857542	293.200207	293.200261	293.200177	293.20035	0.000153527279	0	0	0	0	0	3
55	23	0	0.6761512	293.200208	293.200262	293.200189	293.20035	0.000148866167	0	0	0	0	0	3
56	23	0	0.688444858	293.200209	293.200262	293.200205	293.20035	0.000143482423	0	0	0	0	0	3
57	24	0	0.700738516	293.20021	293.200262	293.200205	293.20035	0.000137373108	0	0	0	0	0	3
58	24	0	0.713032174	293.200212	293.200262	293.200205	293.20035	0.000130992925	0	0	0	0	0	3
