x,y
-0.279014801,-0.395482917
-0.277781311,-0.380366311
-0.279747153,-0.370185789
-0.284236998,-0.364216063
-0.290294645,-0.360691029
-0.296407733,-0.356985214
-0.302475211,-0.353176656
-0.309061863,-0.35009966
-0.315718571,-0.346818101
-0.322253118,-0.343502423
-0.330149049,-0.341506369
-0.339375531,-0.340859583
-0.350708075,-0.342204406
-0.363600522,-0.344667445
-0.376897313,-0.348019291
-0.396485067,-0.356214238
-0.562891403,-0.374338439
-0.534807999,-0.342352731
-0.540824069,-0.334671926
-0.545871647,-0.326374198
-0.55087879,-0.317849854
-0.55566846,-0.309400282
-0.560328537,-0.300878551
-0.563161124,-0.291213928
-0.566647437,-0.282134193
-0.575324052,-0.275764846
-0.589384911,-0.271710163
-0.607875968,-0.269651322
