Iteration	CPUTime	PhysTime	Travels
1	2	0	0.0122936582
2	2	0	0.0245873164
3	3	0	0.0368809745
4	3	0	0.0491746327
5	3	0	0.0614682909
6	4	0	0.0737619491
7	4	0	0.0860556072
8	4	0	0.0983492654
9	5	0	0.110642924
10	5	0	0.122936582
11	6	0	0.13523024
12	6	0	0.147523898
13	6	0	0.159817556
14	7	0	0.172111214
15	7	0	0.184404873
16	7	0	0.196698531
17	8	0	0.208992189
18	8	0	0.221285847
19	8	0	0.233579505
20	9	0	0.245873164
21	9	0	0.258166822
22	9	0	0.27046048
23	10	0	0.282754138
24	10	0	0.295047796
25	10	0	0.307341454
26	11	0	0.319635113
27	11	0	0.331928771
28	12	0	0.344222429
29	12	0	0.356516087
30	12	0	0.368809745
31	13	0	0.381103404
32	13	0	0.393397062
33	14	0	0.40569072
34	14	0	0.417984378
35	15	0	0.430278036
36	15	0	0.442571694
37	15	0	0.454865353
38	16	0	0.467159011
39	16	0	0.479452669
40	16	0	0.491746327
41	17	0	0.504039985
42	17	0	0.516333643
43	18	0	0.528627302
44	18	0	0.54092096
45	18	0	0.553214618
46	19	0	0.565508276
47	19	0	0.577801934
48	19	0	0.590095593
49	20	0	0.602389251
50	20	0	0.614682909
51	20	0	0.626976567
52	21	0	0.639270225
53	21	0	0.651563883
54	21	0	0.663857542
55	22	0	0.6761512
56	22	0	0.688444858
57	22	0	0.700738516
58	23	0	0.713032174
59	23	0	0.725325833
60	24	0	0.737619491
61	24	0	0.749913149
62	24	0	0.762206807
63	25	0	0.774500465
64	25	0	0.786794123
65	25	0	0.799087782
66	26	0	0.81138144
67	26	0	0.823675098
68	26	0	0.835968756
69	27	0	0.848262414
70	27	0	0.860556072
71	27	0	0.872849731
72	28	0	0.885143389
73	28	0	0.897437047
74	28	0	0.909730705
75	29	0	0.922024363
76	29	0	0.934318022
77	29	0	0.94661168
78	30	0	0.958905338
79	30	0	0.971198996
80	30	0	0.983492654
81	31	0	0.995786312
82	31	0	1.00807997
83	31	0	1.02037363
84	32	0	1.03266729
85	32	0	1.04496095
86	33	0	1.0572546
87	33	0	1.06954826
88	33	0	1.08184192
89	34	0	1.09413558
90	34	0	1.10642924
91	34	0	1.11872289
92	35	0	1.13101655
93	35	0	1.14331021
94	35	0	1.15560387
95	36	0	1.16789753
96	36	0	1.18019119
97	36	0	1.19248484
98	37	0	1.2047785
99	37	0	1.21707216
100	38	0	1.22936582
101	38	0	1.24165948
102	39	0	1.25395313
103	39	0	1.26624679
104	39	0	1.27854045
105	40	0	1.29083411
106	40	0	1.30312777
107	41	0	1.31542143
108	41	0	1.32771508
109	41	0	1.34000874
110	42	0	1.3523024
111	42	0	1.36459606
112	42	0	1.37688972
113	43	0	1.38918337
114	43	0	1.40147703
115	43	0	1.41377069
116	44	0	1.42606435
117	44	0	1.43835801
118	44	0	1.45065167
119	45	0	1.46294532
120	45	0	1.47523898
121	45	0	1.48753264
122	46	0	1.4998263
123	46	0	1.51211996
124	46	0	1.52441361
125	47	0	1.53670727
126	47	0	1.54900093
127	47	0	1.56129459
128	48	0	1.57358825
129	48	0	1.58588191
130	48	0	1.59817556
131	49	0	1.61046922
132	49	0	1.62276288
133	49	0	1.63505654
134	50	0	1.6473502
135	50	0	1.65964385
136	50	0	1.67193751
137	51	0	1.68423117
