Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
63	25	0	0.774500465	101324.928	101324.911	101324.865	101324.929	0.0639415675	0	0	0	0	0	3
64	25	0	0.786794123	101324.928	101324.912	101324.865	101324.929	0.0639415675	0	0	0	0	0	3
65	25	0	0.799087782	101324.927	101324.913	101324.865	101324.929	0.0639415675	0	0	0	0	0	3
66	26	0	0.81138144	101324.926	101324.914	101324.865	101324.929	0.0639415675	0	0	0	0	0	3
67	26	0	0.823675098	101324.926	101324.916	101324.865	101324.929	0.0612000308	0	0	0	0	0	3
68	26	0	0.835968756	101324.926	101324.917	101324.867	101324.929	0.0574693094	0	0	0	0	0	3
69	27	0	0.848262414	101324.926	101324.919	101324.874	101324.929	0.0542112206	0	0	0	0	0	3
70	27	0	0.860556072	101324.927	101324.92	101324.882	101324.929	0.0469224712	0	0	0	0	0	3
71	27	0	0.872849731	101324.927	101324.921	101324.89	101324.929	0.0390317714	0	0	0	0	0	3
72	28	0	0.885143389	101324.927	101324.922	101324.898	101324.929	0.0313609262	0	0	0	0	0	3
73	28	0	0.897437047	101324.927	101324.923	101324.904	101324.929	0.0258958397	0	0	0	0	0	3
74	28	0	0.909730705	101324.927	101324.923	101324.907	101324.929	0.0224589914	0	0	0	0	0	3
75	29	0	0.922024363	101324.927	101324.924	101324.908	101324.929	0.0216723554	0	0	0	0	0	3
76	29	0	0.934318022	101324.927	101324.924	101324.908	101324.929	0.0212010633	0	0	0	0	0	3
77	29	0	0.94661168	101324.927	101324.925	101324.908	101324.929	0.0211238128	0	0	0	0	0	3
78	30	0	0.958905338	101324.927	101324.925	101324.911	101324.929	0.0185446442	0	0	0	0	0	3
79	30	0	0.971198996	101324.926	101324.926	101324.914	101324.929	0.0157058994	0	0	0	0	0	3
80	30	0	0.983492654	101324.926	101324.926	101324.916	101324.929	0.0134849681	0	0	0	0	0	3
81	31	0	0.995786312	101324.926	101324.926	101324.917	101324.929	0.0125263452	0	0	0	0	0	3
82	31	0	1.00807997	101324.926	101324.926	101324.918	101324.929	0.0118901717	0.00510744327	0	42.9	0	0	3
83	31	0	1.02037363	101324.927	101324.927	101324.919	101324.929	0.0102808241	0.00510744327	0	49.6	0	0	3
84	32	0	1.03266729	101324.927	101324.927	101324.921	101324.929	0.00866960427	0.00510744327	0	58.9	0	0	3
85	32	0	1.04496095	101324.928	101324.927	101324.922	101324.929	0.00784248677	0.00510744327	0	65.1	0	0	3
86	33	0	1.0572546	101324.929	101324.927	101324.922	101324.929	0.00700636611	0.00510744327	0	72.8	0	0	3
87	33	0	1.06954826	101324.929	101324.927	101324.924	101324.929	0.00558802526	0.00510744327	0	91.3	0	0	3
88	33	0	1.08184192	101324.93	101324.928	101324.925	101324.93	0.00564071506	0.00510744327	0	90.5	0	0	3
89	34	0	1.09413558	101324.931	101324.928	101324.926	101324.931	0.00535632306	0.00510744327	0	95.3	0	0	3
90	34	0	1.10642924	101324.932	101324.928	101324.926	101324.932	0.00591705558	0.00510744327	0	86.3	0	0	3
91	34	0	1.11872289	101324.933	101324.928	101324.926	101324.933	0.00698065502	0.00510744327	0	73.1	0	0	3
92	35	0	1.13101655	101324.934	101324.928	101324.926	101324.934	0.00766241465	0.00510744327	0	66.6	0	0	3
93	35	0	1.14331021	101324.934	101324.928	101324.926	101324.934	0.00820518952	0.00510744327	0	62.2	0	0	3
94	35	0	1.15560387	101324.935	101324.928	101324.926	101324.935	0.00882065884	0.00510744327	0	57.9	0	0	3
95	36	0	1.16789753	101324.935	101324.929	101324.926	101324.935	0.00904868699	0.00510744327	0	56.4	0	0	3
96	36	0	1.18019119	101324.935	101324.929	101324.926	101324.935	0.00928954035	0.00510744327	0	54.9	0	0	3
97	36	0	1.19248484	101324.936	101324.929	101324.926	101324.936	0.00980500029	0.00510744327	0	52	0	0	3
98	37	0	1.2047785	101324.937	101324.929	101324.926	101324.937	0.0103398596	0.00510744327	0	49.3	0	0	3
99	37	0	1.21707216	101324.937	101324.929	101324.926	101324.937	0.010659042	0.00510744327	0	47.9	0	0	3
100	38	0	1.22936582	101324.937	101324.93	101324.926	101324.937	0.010894057	0.00510744327	0	46.8	0	0	3
101	38	0	1.24165948	101324.937	101324.93	101324.926	101324.937	0.0110923201	0.00510744327	0	46	0	0	3
102	39	0	1.25395313	101324.937	101324.93	101324.926	101324.937	0.0112661818	0.00510744327	0	45.3	0	0	3
103	39	0	1.26624679	101324.938	101324.93	101324.926	101324.938	0.0113933465	0.00510744327	0	44.8	0	0	3
104	39	0	1.27854045	101324.938	101324.93	101324.926	101324.938	0.0115490527	0.00510744327	0	44.2	0	0	3
105	40	0	1.29083411	101324.938	101324.931	101324.926	101324.938	0.0117854676	0.00510744327	0	43.3	0	0	3
106	40	0	1.30312777	101324.938	101324.931	101324.926	101324.938	0.0120639294	0.00510744327	0	42.3	0	0	3
107	41	0	1.31542143	101324.939	101324.931	101324.926	101324.939	0.0123144491	0.00510744327	0	41.4	0	0	3
108	41	0	1.32771508	101324.939	101324.932	101324.926	101324.939	0.0124875555	0.00510744327	0	40.9	0	0	3
109	41	0	1.34000874	101324.939	101324.932	101324.926	101324.939	0.0126694141	0.00510744327	0	40.3	0	0	3
110	42	0	1.3523024	101324.939	101324.932	101324.926	101324.939	0.0120142467	0.00510744327	0	42.5	0	0	3
111	42	0	1.36459606	101324.939	101324.932	101324.926	101324.939	0.0112291609	0.00510744327	0	45.4	0	0	3
112	42	0	1.37688972	101324.939	101324.933	101324.926	101324.939	0.010631186	0.00510744327	0	48	0	0	3
113	43	0	1.38918337	101324.939	101324.933	101324.926	101324.939	0.0102129435	0.00510744327	0	50	0	0	3
114	43	0	1.40147703	101324.939	101324.933	101324.926	101324.939	0.00992516261	0.00510744327	0	51.4	0	0	3
115	43	0	1.41377069	101324.939	101324.934	101324.926	101324.939	0.00972789711	0.00510744327	0	52.5	0	0	3
116	44	0	1.42606435	101324.939	101324.934	101324.926	101324.939	0.00955161997	0.00510744327	0	53.4	0	0	3
117	44	0	1.43835801	101324.939	101324.934	101324.926	101324.939	0.00939112864	0.00510744327	0	54.3	0	0	3
118	44	0	1.45065167	101324.939	101324.935	101324.926	101324.939	0.00924066282	0.00510744327	0	55.2	0	0	3
119	45	0	1.46294532	101324.939	101324.935	101324.926	101324.939	0.0091622515	0.00510744327	0	55.7	0	0	3
120	45	0	1.47523898	101324.939	101324.935	101324.926	101324.939	0.00916446444	0.00510744327	0	55.7	0	0	3
121	45	0	1.48753264	101324.939	101324.935	101324.926	101324.939	0.00922465192	0.00510744327	0	55.3	0	0	3
